YYYY/MM/DD,Wdy,USD/EUR
3/19/2015,Thu,1.0621
3/20/2015,Fri,1.0791
3/23/2015,Mon,1.0927
3/24/2015,Tue,1.0906
3/25/2015,Wed,1.0986
3/26/2015,Thu,1.0918
3/27/2015,Fri,1.0891
3/30/2015,Mon,1.0817
3/31/2015,Tue,1.0741
4/1/2015,Wed,1.0767
4/2/2015,Thu,1.0876
4/6/2015,Mon,1.1006
4/7/2015,Tue,1.085
4/8/2015,Wed,1.0818
4/9/2015,Thu,1.067
4/10/2015,Fri,1.0597
4/13/2015,Mon,1.0581
4/14/2015,Tue,1.0673
4/15/2015,Wed,1.0596
4/16/2015,Thu,1.0741
4/17/2015,Fri,1.078
4/20/2015,Mon,1.0763
4/21/2015,Tue,1.0757
4/22/2015,Wed,1.0727
4/23/2015,Thu,1.0802
4/24/2015,Fri,1.0875
4/27/2015,Mon,1.0891
4/28/2015,Tue,1.0978
4/29/2015,Wed,1.1173
4/30/2015,Thu,1.1162
5/1/2015,Fri,1.1194
5/4/2015,Mon,1.1145
5/5/2015,Tue,1.1174
5/6/2015,Wed,1.1346
5/7/2015,Thu,1.1283
5/8/2015,Fri,1.1239
5/11/2015,Mon,1.1142
5/12/2015,Tue,1.1238
5/13/2015,Wed,1.1372
5/14/2015,Thu,1.1368
5/15/2015,Fri,1.1428
5/19/2015,Tue,1.115
5/20/2015,Wed,1.1079
5/21/2015,Thu,1.1126
5/22/2015,Fri,1.1033
5/25/2015,Mon,1.0971
5/26/2015,Tue,1.0876
5/27/2015,Wed,1.0886
5/28/2015,Thu,1.0913
5/29/2015,Fri,1.0995
6/1/2015,Mon,1.0912
6/2/2015,Tue,1.1129
6/3/2015,Wed,1.1283
6/4/2015,Thu,1.127
6/5/2015,Fri,1.1108
6/8/2015,Mon,1.1231
6/9/2015,Tue,1.1281
6/10/2015,Wed,1.1307
6/11/2015,Thu,1.1237
6/12/2015,Fri,1.1278
6/15/2015,Mon,1.1266
6/16/2015,Tue,1.1237
6/17/2015,Wed,1.123
6/18/2015,Thu,1.1403
6/19/2015,Fri,1.1335
6/22/2015,Mon,1.138
6/23/2015,Tue,1.1188
6/24/2015,Wed,1.1178
6/25/2015,Thu,1.1194
6/26/2015,Fri,1.1155
6/29/2015,Mon,1.118
6/30/2015,Tue,1.1152
7/2/2015,Thu,1.109
7/3/2015,Fri,1.1096
7/6/2015,Mon,1.1075
7/7/2015,Tue,1.0951
7/8/2015,Wed,1.1072
7/9/2015,Thu,1.1024
7/10/2015,Fri,1.115
7/13/2015,Mon,1.1019
7/14/2015,Tue,1.1015
7/15/2015,Wed,1.0964
7/16/2015,Thu,1.0897
7/17/2015,Fri,1.0848
7/20/2015,Mon,1.085
7/21/2015,Tue,1.0927
7/22/2015,Wed,1.0884
7/23/2015,Thu,1.0975
7/24/2015,Fri,1.0976
7/27/2015,Mon,1.1112
7/28/2015,Tue,1.1055
7/29/2015,Wed,1.1024
7/30/2015,Thu,1.0914
7/31/2015,Fri,1.1028
8/4/2015,Tue,1.0953
8/5/2015,Wed,1.0868
8/6/2015,Thu,1.0921
8/7/2015,Fri,1.0956
8/10/2015,Mon,1.0994
8/11/2015,Tue,1.104
8/12/2015,Wed,1.1197
8/13/2015,Thu,1.1145
8/14/2015,Fri,1.1109
8/17/2015,Mon,1.1076
8/18/2015,Tue,1.1026
8/19/2015,Wed,1.106
8/20/2015,Thu,1.1199
8/21/2015,Fri,1.1356
8/24/2015,Mon,1.1578
8/25/2015,Tue,1.141
8/26/2015,Wed,1.1388
8/27/2015,Thu,1.1236
8/28/2015,Fri,1.1171
8/31/2015,Mon,1.1193
9/1/2015,Tue,1.1263
9/2/2015,Wed,1.124
9/3/2015,Thu,1.1102
